[cnn] Connecting to 192.168.2.99:5005 ...
[cnn] Connected. Press 'q' in the preview window to quit.
  Frame     1  -> Priority road  (total 247.937 ms, hw 239.659 ms, 3041 ms RTT)
  Frame     2  -> Priority road  (total 247.287 ms, hw 239.604 ms, 502 ms RTT)
  Frame     3  -> Priority road  (total 247.485 ms, hw 239.539 ms, 501 ms RTT)
  Frame     4  -> Priority road  (total 247.685 ms, hw 239.633 ms, 500 ms RTT)
  Frame     5  -> Priority road  (total 247.449 ms, hw 239.531 ms, 500 ms RTT)
  Frame     6  -> Priority road  (total 248.669 ms, hw 239.825 ms, 504 ms RTT)
  Frame     7  -> Priority road  (total 247.187 ms, hw 239.49 ms, 487 ms RTT)
  Frame     8  -> Priority road  (total 247.46 ms, hw 239.745 ms, 489 ms RTT)
  Frame     9  -> Go straight or right  (total 247.21 ms, hw 239.515 ms, 487 ms RTT)
  Frame    10  -> Priority road  (total 246.979 ms, hw 239.535 ms, 488 ms RTT)
  Frame    11  -> Priority road  (total 247.176 ms, hw 239.515 ms, 491 ms RTT)
  Frame    12  -> Turn left ahead  (total 246.927 ms, hw 239.498 ms, 495 ms RTT)
  Frame    13  -> Keep right  (total 246.927 ms, hw 239.503 ms, 491 ms RTT)
  Frame    14  -> Keep right  (total 247.22 ms, hw 239.54 ms, 497 ms RTT)
  Frame    15  -> Keep right  (total 247.43 ms, hw 239.591 ms, 492 ms RTT)
  Frame    16  -> Keep right  (total 246.974 ms, hw 239.548 ms, 494 ms RTT)
  Frame    17  -> Keep right  (total 246.917 ms, hw 239.507 ms, 492 ms RTT)
  Frame    18  -> General caution  (total 246.967 ms, hw 239.507 ms, 492 ms RTT)
  Frame    19  -> Speed limit (30km/h)  (total 246.914 ms, hw 239.484 ms, 492 ms RTT)
  Frame    20  -> Speed limit (30km/h)  (total 246.961 ms, hw 239.504 ms, 493 ms RTT)
  Frame    21  -> Speed limit (30km/h)  (total 247.192 ms, hw 239.468 ms, 491 ms RTT)
  Frame    22  -> Speed limit (30km/h)  (total 246.937 ms, hw 239.542 ms, 492 ms RTT)
  Frame    23  -> Priority road  (total 247.11 ms, hw 239.467 ms, 492 ms RTT)
  Frame    24  -> Priority road  (total 247.093 ms, hw 239.689 ms, 492 ms RTT)
  Frame    25  -> Priority road  (total 246.868 ms, hw 239.492 ms, 491 ms RTT)
  Frame    26  -> Priority road  (total 246.922 ms, hw 239.475 ms, 492 ms RTT)
  Frame    27  -> Priority road  (total 246.934 ms, hw 239.489 ms, 489 ms RTT)
  Frame    28  -> Yield  (total 246.949 ms, hw 239.552 ms, 491 ms RTT)
  Frame    29  -> Yield  (total 247.404 ms, hw 239.505 ms, 490 ms RTT)
  Frame    30  -> Yield  (total 246.933 ms, hw 239.532 ms, 514 ms RTT)
  Frame    31  -> Yield  (total 246.959 ms, hw 239.483 ms, 490 ms RTT)
  Frame    32  -> Yield  (total 246.845 ms, hw 239.489 ms, 493 ms RTT)
  Frame    33  -> Yield  (total 246.854 ms, hw 239.478 ms, 488 ms RTT)
  Frame    34  -> Yield  (total 246.952 ms, hw 239.553 ms, 490 ms RTT)
  Frame    35  -> Priority road  (total 246.993 ms, hw 239.546 ms, 492 ms RTT)
  Frame    36  -> Priority road  (total 246.921 ms, hw 239.52 ms, 491 ms RTT)
  Frame    37  -> Yield  (total 246.913 ms, hw 239.51 ms, 490 ms RTT)
  Frame    38  -> Yield  (total 247.033 ms, hw 239.572 ms, 490 ms RTT)
  Frame    39  -> General caution  (total 246.95 ms, hw 239.506 ms, 489 ms RTT)
  Frame    40  -> General caution  (total 246.994 ms, hw 239.519 ms, 490 ms RTT)
  Frame    41  -> General caution  (total 246.914 ms, hw 239.527 ms, 490 ms RTT)
  Frame    42  -> General caution  (total 246.951 ms, hw 239.556 ms, 491 ms RTT)
  Frame    43  -> Speed limit (30km/h)  (total 247.01 ms, hw 239.547 ms, 491 ms RTT)
  Frame    44  -> Priority road  (total 247.024 ms, hw 239.63 ms, 489 ms RTT)
  Frame    45  -> Priority road  (total 247.029 ms, hw 239.64 ms, 488 ms RTT)
  Frame    46  -> Priority road  (total 246.981 ms, hw 239.535 ms, 488 ms RTT)
  Frame    47  -> Priority road  (total 247.019 ms, hw 239.54 ms, 488 ms RTT)
  Frame    48  -> Priority road  (total 247.052 ms, hw 239.55 ms, 487 ms RTT)
  Frame    49  -> Priority road  (total 247.088 ms, hw 239.591 ms, 486 ms RTT)
  Frame    50  -> Yield  (total 247.009 ms, hw 239.549 ms, 491 ms RTT)
  Frame    51  -> Priority road  (total 246.978 ms, hw 239.507 ms, 488 ms RTT)
  Frame    52  -> Priority road  (total 246.962 ms, hw 239.508 ms, 489 ms RTT)
  Frame    53  -> Go straight or left  (total 246.864 ms, hw 239.496 ms, 490 ms RTT)
  Frame    54  -> Priority road  (total 248.726 ms, hw 239.696 ms, 493 ms RTT)
  Frame    55  -> End of restrictions  (total 246.904 ms, hw 239.537 ms, 497 ms RTT)
  Frame    56  -> Speed limit (30km/h)  (total 246.884 ms, hw 239.474 ms, 498 ms RTT)
  Frame    57  -> Priority road  (total 246.992 ms, hw 239.555 ms, 491 ms RTT)
  Frame    58  -> Speed limit (30km/h)  (total 247.011 ms, hw 239.59 ms, 492 ms RTT)
  Frame    59  -> Speed limit (30km/h)  (total 246.918 ms, hw 239.487 ms, 492 ms RTT)
  Frame    60  -> Speed limit (30km/h)  (total 246.893 ms, hw 239.486 ms, 492 ms RTT)
  Frame    61  -> Speed limit (30km/h)  (total 246.962 ms, hw 239.593 ms, 491 ms RTT)
  Frame    62  -> Speed limit (30km/h)  (total 247.014 ms, hw 239.541 ms, 494 ms RTT)
  Frame    63  -> Go straight or left  (total 246.969 ms, hw 239.542 ms, 488 ms RTT)
  Frame    64  -> Go straight or left  (total 246.896 ms, hw 239.489 ms, 490 ms RTT)
  Frame    65  -> Keep right  (total 247.878 ms, hw 239.57 ms, 492 ms RTT)
  Frame    66  -> Priority road  (total 246.934 ms, hw 239.533 ms, 492 ms RTT)
  Frame    67  -> Priority road  (total 246.947 ms, hw 239.59 ms, 490 ms RTT)
  Frame    68  -> Priority road  (total 246.976 ms, hw 239.507 ms, 492 ms RTT)
  Frame    69  -> General caution  (total 246.918 ms, hw 239.554 ms, 490 ms RTT)
  Frame    70  -> Speed limit (30km/h)  (total 246.964 ms, hw 239.511 ms, 491 ms RTT)
  Frame    71  -> Speed limit (30km/h)  (total 246.893 ms, hw 239.502 ms, 492 ms RTT)
  Frame    72  -> Priority road  (total 247.093 ms, hw 239.582 ms, 493 ms RTT)
